Evaluacion;Año;FP;Eva_;Eva_E;Fecha;Time_E;Time_;Parcela;Surco_1;Surco;Arbol_1;Arbol;Rep;Nudos;Htotal;Htotal_t;Hroya;Inc_promedio;Def_calculada;Sev_total;Severidad;Sev_condicional
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;1;A;1;1;1;8;15;16;5;33,33;6,25;4;0,27;0,8
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;1;A;1;1;2;13;14;26;4;28,57;46,15;1,9;0,14;0,48
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;1;A;1;1;3;10;17;20;5;29,41;15;2,1;0,12;0,42
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;1;A;2;2;1;8;12;16;2;16,67;25;1,1;0,09;0,55
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;1;A;2;2;2;7;14;14;6;42,86;0;3,4;0,24;0,57
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;1;A;2;2;3;9;12;18;4;33,33;33,33;3,1;0,26;0,78
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;1;A;3;3;1;11;15;22;5;33,33;31,82;23,1;1,54;4,62
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;1;A;3;3;2;9;15;18;5;33,33;16,67;1,3;0,09;0,26
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;1;A;3;3;3;7;11;14;5;45,45;21,43;5,5;0,5;1,1
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;1;A;4;4;1;7;12;14;2;16,67;14,29;1,1;0,09;0,55
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;1;A;4;4;2;21;40;42;10;25;4,76;1,8;0,05;0,18
1_Mitaca;2021;19/09/21;1;1;15/10/21;26;26;Tto Fungicida;1;A;4;4;3;9;17;18;4;23,53;5,56;3,9;0,23;0,98
